id,a1,a2,a3,a4,a5,a6,a7,a8,a9
W_01,498.8112,-1.9883,2.1299,-1.741,0.5889,-0.9055,-2.4648,1.3534,0.2203
W_02,497.8144,8.0868,-1.3906,-2.566,0.6228,1.93,-0.0396,-0.0802,-0.1776
W_03,503.5065,-0.6375,-1.7831,-13.5779,-0.2132,1.4072,1.4585,-0.52,0.3156
W_04,500.7254,1.7896,0.5196,-2.7676,0.1096,6.2349,-0.1199,-1.1287,-0.3377
W_05,498.6586,1.1018,-0.7222,-1.1311,0.237,0.085,-0.1078,0.3153,3.2598
W_06,499.9867,-1.7265,-1.1647,-2.9214,-0.4607,0.6496,0.1298,4.1426,-0.1467
W_07,499.5565,0.5048,-0.399,-1.6835,-0.7633,-0.3616,-0.917,-0.3891,-1.0542
W_08,497.2444,1.3838,0.1293,-0.8073,0.2685,-0.8645,-1.2756,-1.3885,-1.4497
W_09,497.2226,1.1445,-2.3436,-2.2133,0.2295,-1.154,1.1223,0.0613,-0.2864
W_10,499.7643,2.8535,0.8708,-1.9961,0.5569,0.7552,1.4835,-2.3561,0.2111
W_11,496.9848,-3.0559,3.7695,-0.7525,0.4731,0.916,-0.5812,-0.676,0.2086
W_12,498.2357,2.1359,-1.14,-1.9035,-0.5562,-0.2059,0.089,1.0757,-0.5617
W_13,498.0646,3.1805,0.2809,-1.978,1.3604,-0.1932,-0.1878,-1.843,1.1093
W_14,497.8004,0.0466,1.6186,-1.3611,0.1453,-1.6748,-0.8282,-0.3572,-0.177
W_15,500.4059,-0.961,0.4965,-3.3193,-1.3114,-1.5175,-0.5042,-0.5133,0.9663
W_16,497.1775,1.734,0.6666,-2.5872,1.0585,0.2668,0.562,-0.6309,0.7068
W_17,497.7908,0.3794,1.0802,-2.1608,-0.2199,0.0156,-0.185,-1.7428,-0.671
W_18,498.6376,2.6977,-1.5521,-2.3648,0.4849,1.0076,0.675,1.5549,0.712
W_19,493.5408,-0.2499,-2.354,-1.9733,1.801,0.2191,0.7467,0.1142,-1.4877
W_20,499.3869,3.7078,-1.5465,-5.1522,-0.5966,1.5974,1.1322,-2.6916,0.3784
W_21,497.7811,1.4,-0.3868,-3.5407,-0.0919,0.5462,0.2693,0.1041,0.4542
W_22,498.2873,3.5584,1.2879,-4.2878,1.7093,1.7116,-1.0823,-1.8892,-0.9838
W_23,496.9717,0.635,-0.3906,-4.2959,1.9079,1.7016,-0.4925,-0.2067,1.9934
W_24,498.7144,0.6164,-2.5613,-3.2903,-0.0968,0.337,0.9374,-1.3684,-0.1846
W_25,499.0684,1.5068,-0.1861,-3.8545,-0.0187,-0.3551,-1.254,-1.0286,0.281
W_26,495.1874,1.7909,0.584,-3.9047,-0.0792,1.4447,-0.2035,1.0215,0.2834
W_27,496.5066,1.8752,-3.0837,-4.0051,0.2896,1.4192,1.3546,0.4703,2.0238
W_28,497.5322,-1.1058,0.1897,-4.5184,0.9928,0.2669,-0.7077,0.8972,1.0852
W_29,497.1577,2.648,-1.1051,-2.7019,-0.3671,-0.6564,0.6708,-1.8832,0.7744
W_30,494.4803,0.7777,-2.8147,-5.1834,0.8275,0.3904,0.8115,-2.1763,0.5724
W_31,494.6395,0.4933,-1.1488,-2.8482,-0.2855,0.1496,0.5413,0.934,0.3615
W_32,494.5259,0.5856,-3.1243,-5.3835,1.1602,-0.1295,-0.008,-0.5634,-0.9845
W_33,497.2094,0.0624,-1.5273,-6.7413,1.8686,0.0244,-1.0819,-0.1843,0.9139
W_34,493.8111,-0.0906,1.3222,-4.217,0.2531,0.7263,-2.1476,1.0575,-0.2686
W_35,497.4149,3.4046,-2.2283,-3.6682,1.9757,-1.2862,0.6609,-2.246,0.6176
W_36,494.5997,2.5013,-2.9076,-5.9021,-0.7234,1.2589,-0.2554,0.0412,-0.7387
