id,scenario,a1_true,a1_lsq,a1_ridge,a2_true,a2_lsq,a2_ridge,a3_true,a3_lsq,a3_ridge,a4_true,a4_lsq,a4_ridge,a5_true,a5_lsq,a5_ridge,a6_true,a6_lsq,a6_ridge,a7_true,a7_lsq,a7_ridge,a8_true,a8_lsq,a8_ridge,a9_true,a9_lsq,a9_ridge
W_01,normal,500.0,499.2949,498.8112,0.5,-1.9913,-1.9883,-0.3,2.1338,2.1299,-2.0,-1.8871,-1.741,0.1,0.5892,0.5889,0.2,-0.9059,-0.9055,0.0,-2.4674,-2.4648,0.0,1.3553,1.3534,0.0,0.2205,0.2203
W_02,tilted,498.0,498.2973,497.8144,8.0,8.0962,8.0868,-1.5,-1.3922,-1.3906,-2.5,-2.7122,-2.566,0.2,0.6231,0.6228,0.3,1.9308,1.93,0.0,-0.0388,-0.0396,0.0,-0.0849,-0.0802,0.0,-0.1778,-0.1776
W_03,bowl,502.0,503.9982,503.5065,0.4,-0.638,-0.6375,-0.2,-1.786,-1.7831,-12.0,-13.7304,-13.5779,0.0,-0.2133,-0.2132,0.5,1.4077,1.4072,0.0,1.4603,1.4585,0.0,-0.5199,-0.52,0.0,0.3155,0.3156
W_04,astigmatic,499.5,501.2113,500.7254,0.3,1.7923,1.7896,0.1,0.5202,0.5196,-3.0,-2.9147,-2.7676,0.4,0.1097,0.1096,6.5,6.2373,6.2349,0.0,-0.1202,-0.1199,0.0,-1.1303,-1.1287,0.0,-0.3378,-0.3377
W_05,trefoil,501.0,499.142,498.6586,-0.2,1.1029,1.1018,0.4,-0.7228,-0.7222,-2.8,-1.2769,-1.1311,0.1,0.2371,0.237,0.3,0.085,0.085,0.0,-0.1076,-0.1078,0.0,0.3148,0.3153,4.5,3.2608,3.2598
W_06,comatic,500.5,500.4718,499.9867,0.6,-1.7308,-1.7265,-0.3,-1.1661,-1.1647,-2.2,-3.0684,-2.9214,0.1,-0.4609,-0.4607,0.4,0.6498,0.6496,0.2,0.1305,0.1298,3.8,4.1458,4.1426,0.1,-0.1469,-0.1467
W_07,drift,500.0977,500.0409,499.5565,0.3829,0.5056,0.5048,-0.4817,-0.399,-0.399,-1.7965,-1.8298,-1.6835,-0.2984,-0.7636,-0.7633,0.3943,-0.3618,-0.3616,0.0033,-0.9172,-0.917,0.0411,-0.3896,-0.3891,-0.1567,-1.0545,-1.0542
W_08,drift,500.3406,497.7263,497.2444,0.4756,1.3861,1.3838,-0.4112,0.1301,0.1293,-1.817,-0.9525,-0.8073,0.0287,0.2686,0.2685,0.0403,-0.8648,-0.8645,0.0053,-1.2764,-1.2756,-0.1232,-1.39,-1.3885,0.1171,-1.4501,-1.4497
W_09,drift,499.5562,497.7048,497.2226,0.8075,1.1458,1.1445,-0.4451,-2.347,-2.3436,-2.3062,-2.3592,-2.2133,-0.2136,0.2296,0.2295,0.2732,-1.1545,-1.154,-0.4156,1.1243,1.1223,0.0529,0.0607,0.0613,0.1963,-0.2867,-0.2864
W_10,drift,499.578,500.2489,499.7643,0.0899,2.8582,2.8535,-0.1889,0.871,0.8708,-2.2972,-2.1425,-1.9961,0.1793,0.5572,0.5569,-0.0344,0.7555,0.7552,0.3826,1.4838,1.4835,-0.2448,-2.359,-2.3561,-0.3359,0.2112,0.2111
W_11,drift,498.6756,497.4664,496.9848,0.5676,-3.059,-3.0559,-0.2118,3.7743,3.7695,-2.3922,-0.8976,-0.7525,0.0325,0.4733,0.4731,0.0375,0.9163,0.916,0.1686,-0.5838,-0.5812,-0.1795,-0.6746,-0.676,-0.242,0.2089,0.2086
W_12,drift,499.8105,498.7189,498.2357,0.5943,2.1377,2.1359,-0.1748,-1.1414,-1.14,-2.4467,-2.0495,-1.9035,-0.0144,-0.5564,-0.5562,0.0934,-0.206,-0.2059,0.1281,0.0897,0.089,-0.1234,1.075,1.0757,0.0672,-0.562,-0.5617
