id,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
W_01,502.5635,495.7867,507.8515,504.655,494.9649,493.6581,495.8951,494.9104,493.231,493.9566,499.0501,501.5803,495.9447
W_02,502.995,510.2708,497.9134,493.2226,500.5187,514.2814,504.0065,486.4789,478.4019,482.3768,486.2547,491.2614,505.7578
W_03,527.78,516.2281,509.6032,515.7267,518.6615,480.9181,478.8029,476.4343,483.7265,486.4111,480.6423,477.1023,477.8073
W_04,506.2597,511.48,500.3518,503.8118,498.59,511.8287,496.536,482.5406,495.4429,511.0535,496.3388,479.2288,496.3578
W_05,501.3537,500.8154,498.279,499.6365,501.9501,500.2347,504.9801,485.7493,499.4441,494.0424,490.0467,507.695,493.261
W_06,505.7864,494.3156,501.1394,512.4214,503.8943,505.0133,498.1808,492.0179,488.7827,488.4844,489.8895,495.1131,503.8009
W_07,503.2102,502.4828,503.3582,500.0718,500.1448,495.8946,490.4415,497.3482,494.3056,496.0761,499.5706,498.1675,503.1837
W_08,499.3761,501.7954,501.9981,494.0578,496.122,492.7989,490.6603,498.9463,490.9743,495.1175,502.8118,497.4433,499.8676
W_09,501.7911,499.927,496.076,497.769,504.6464,493.2539,494.2794,495.7434,489.6731,488.3273,494.0915,497.1496,496.4495
W_10,503.9598,509.5584,499.6982,495.3802,503.26,497.4327,501.854,500.0288,500.4605,499.3444,493.9589,489.3459,489.8962
W_11,499.0211,496.8069,502.4341,500.7724,492.7434,490.1301,495.9894,498.9737,505.0144,506.1822,498.1551,488.3607,484.4954
W_12,502.2687,500.5626,499.3864,499.906,501.6222,501.9804,496.4213,495.2341,488.8099,487.3485,491.2011,496.1132,504.2608
W_13,502.2265,506.66,500.5709,493.6026,500.1984,495.5448,501.2637,492.2343,492.9622,493.2456,495.1455,498.4501,490.121
W_14,500.8928,499.0728,503.7937,497.7238,497.3948,490.6519,495.667,501.1731,496.2499,492.4865,496.3967,498.3808,494.391
W_15,506.8958,502.5921,505.6985,502.7844,503.6573,487.7943,490.9265,495.439,502.1174,494.544,492.4395,501.7725,494.095
W_16,502.3938,502.9396,499.1149,497.1318,500.2568,495.2639,500.1939,493.1958,492.6236,491.8951,490.8533,491.3482,488.0548
W_17,502.2691,503.5902,501.8277,496.6926,498.4142,490.1454,490.6195,497.7758,497.581,498.4872,496.8691,490.704,492.0619
W_18,503.4707,501.8744,497.4115,501.7336,503.5542,507.0368,503.459,489.093,487.2458,487.4453,488.4704,495.5127,499.9334
W_19,497.6877,495.4093,492.4141,496.3278,498.7484,490.7112,489.8283,491.4264,481.2573,491.0648,499.7044,488.2019,490.6318
W_20,509.0518,513.7502,499.3563,496.6243,506.829,494.411,489.9424,485.8164,493.1222,494.8029,488.5423,487.7394,491.2064
W_21,504.6509,502.8605,499.8245,500.3228,501.9265,496.3113,494.7463,489.2424,490.821,490.1209,488.5744,491.8362,493.3995
W_22,506.4525,510.4659,504.838,496.4632,497.6026,497.0591,494.2414,489.1937,483.3461,493.5092,496.329,484.5976,490.4796
W_23,505.1491,503.1681,499.5946,501.1267,500.2379,494.6148,497.3758,477.7751,487.06,493.2437,491.5066,493.4044,483.1322
W_24,505.1516,505.2255,497.5188,499.1487,505.9718,491.4329,489.0349,490.4696,493.2287,496.7089,496.9957,494.3693,493.7498
W_25,506.4839,505.9081,504.9039,499.1767,501.1123,491.8565,490.4578,488.7773,490.3938,491.6468,494.7109,498.2071,494.9581
W_26,502.684,499.9429,498.8342,499.8115,497.1315,498.6652,494.0248,484.9028,485.2689,485.72,482.9088,485.3214,492.4403
W_27,504.1793,502.3816,493.0372,500.1428,505.7654,498.358,496.4945,478.2572,487.8943,488.1937,484.5372,494.3834,490.3006
W_28,506.0959,499.2277,502.6098,504.6668,500.5845,490.915,493.628,484.5878,488.3109,490.2633,491.1237,493.9734,486.7152
W_29,502.5729,505.55,497.7389,493.4561,502.9886,491.0689,493.1234,491.8118,494.9502,491.1282,490.5043,496.8196,492.2741
W_30,504.192,504.1304,494.4317,494.8866,503.5614,482.0859,483.3059,479.818,485.7407,491.2864,492.2283,489.7272,481.6866
W_31,500.3046,496.5021,495.1507,498.7544,499.7135,493.93,491.9816,487.7778,488.2561,486.6722,486.5012,491.3577,493.0234
W_32,504.5845,500.9693,496.7047,497.7797,502.3841,484.6888,481.5823,482.2583,476.492,485.5329,494.98,489.2333,488.7045
W_33,509.625,503.6442,503.1804,502.8686,503.2684,485.4242,487.5784,476.9993,478.9852,486.2169,493.1238,494.4028,483.4125
W_34,501.847,496.3319,502.5688,500.2279,492.0863,491.3241,486.3921,482.2836,481.187,485.7038,488.3339,487.6251,491.0597
W_35,504.505,507.5938,498.1022,492.6589,505.5234,488.5966,495.8708,490.1068,485.5303,487.6808,496.4028,498.7776,487.3892
W_36,505.5573,503.2976,496.849,498.2559,501.4032,492.8095,480.3654,477.0695,476.669,482.5676,485.3235,485.968,496.1065
