id,a1,a2,a3,a4,a5,a6,a7,a8,a9
W_01,499.2949,-1.9913,2.1338,-1.8871,0.5892,-0.9059,-2.4674,1.3553,0.2205
W_02,498.2973,8.0962,-1.3922,-2.7122,0.6231,1.9308,-0.0388,-0.0849,-0.1778
W_03,503.9982,-0.638,-1.786,-13.7304,-0.2133,1.4077,1.4603,-0.5199,0.3155
W_04,501.2113,1.7923,0.5202,-2.9147,0.1097,6.2373,-0.1202,-1.1303,-0.3378
W_05,499.142,1.1029,-0.7228,-1.2769,0.2371,0.085,-0.1076,0.3148,3.2608
W_06,500.4718,-1.7308,-1.1661,-3.0684,-0.4609,0.6498,0.1305,4.1458,-0.1469
W_07,500.0409,0.5056,-0.399,-1.8298,-0.7636,-0.3618,-0.9172,-0.3896,-1.0545
W_08,497.7263,1.3861,0.1301,-0.9525,0.2686,-0.8648,-1.2764,-1.39,-1.4501
W_09,497.7048,1.1458,-2.347,-2.3592,0.2296,-1.1545,1.1243,0.0607,-0.2867
W_10,500.2489,2.8582,0.871,-2.1425,0.5572,0.7555,1.4838,-2.359,0.2112
W_11,497.4664,-3.059,3.7743,-0.8976,0.4733,0.9163,-0.5838,-0.6746,0.2089
W_12,498.7189,2.1377,-1.1414,-2.0495,-0.5564,-0.206,0.0897,1.075,-0.562
W_13,498.5476,3.1853,0.2814,-2.124,1.3609,-0.1933,-0.1881,-1.8459,1.1097
W_14,498.2829,0.0468,1.621,-1.5068,0.1453,-1.6754,-0.8296,-0.3574,-0.177
W_15,500.8916,-0.9618,0.4975,-3.4665,-1.3119,-1.518,-0.5048,-0.5131,0.9666
W_16,497.6598,1.7364,0.6671,-2.7332,1.0589,0.2669,0.5619,-0.6323,0.707
W_17,498.2736,0.3808,1.0815,-2.3068,-0.22,0.0156,-0.1857,-1.7439,-0.6711
W_18,499.1213,2.6999,-1.5543,-2.5111,0.4851,1.008,0.6763,1.5542,0.7121
W_19,494.0194,-0.2502,-2.3572,-2.1179,1.8018,0.2192,0.7485,0.1144,-1.4883
W_20,499.8721,3.7136,-1.5489,-5.2999,-0.5968,1.5981,1.1337,-2.6952,0.3784
W_21,498.2643,1.4015,-0.3874,-3.6873,-0.0919,0.5464,0.2697,0.1033,0.4543
W_22,498.7712,3.5636,1.2899,-4.4348,1.71,1.7123,-1.0836,-1.8923,-0.984
W_23,497.4543,0.6358,-0.3906,-4.4426,1.9087,1.7023,-0.4926,-0.2072,1.9941
W_24,499.1984,0.6179,-2.5648,-3.4371,-0.0968,0.3371,0.9394,-1.3696,-0.1848
W_25,499.5529,1.5092,-0.1855,-4.0016,-0.0187,-0.3553,-1.2546,-1.0301,0.2812
W_26,495.6682,1.7924,0.5848,-4.0506,-0.0792,1.4453,-0.204,1.021,0.2835
W_27,496.9887,1.8771,-3.088,-4.1515,0.2897,1.4198,1.3571,0.4695,2.0243
W_28,498.0154,-1.1076,0.1904,-4.6653,0.9932,0.2671,-0.7082,0.8984,1.0856
W_29,497.64,2.6521,-1.1067,-2.848,-0.3673,-0.6567,0.6718,-1.8858,0.7745
W_30,494.9607,0.7799,-2.8184,-5.3297,0.8279,0.3906,0.8136,-2.1779,0.5724
W_31,495.1195,0.4933,-1.1504,-2.9936,-0.2856,0.1497,0.5422,0.9342,0.3616
W_32,495.0064,0.5866,-3.128,-5.5299,1.1607,-0.1296,-0.0061,-0.564,-0.9849
W_33,497.6929,0.0626,-1.5284,-6.889,1.8693,0.0244,-1.0817,-0.1844,0.9141
W_34,494.2906,-0.0913,1.3249,-4.3627,0.2532,0.7266,-2.1496,1.0581,-0.2685
W_35,497.8977,3.4098,-2.2312,-3.8147,1.9765,-1.2867,0.6626,-2.2492,0.6177
W_36,495.0805,2.5042,-2.9108,-6.0488,-0.7237,1.2594,-0.2539,0.0398,-0.7391
