id,scenario,a1,a2,a3,a4,a5,a6,a7,a8,a9
W_01,normal,500.0,0.5,-0.3,-2.0,0.1,0.2,0.0,0.0,0.0
W_02,tilted,498.0,8.0,-1.5,-2.5,0.2,0.3,0.0,0.0,0.0
W_03,bowl,502.0,0.4,-0.2,-12.0,0.0,0.5,0.0,0.0,0.0
W_04,astigmatic,499.5,0.3,0.1,-3.0,0.4,6.5,0.0,0.0,0.0
W_05,trefoil,501.0,-0.2,0.4,-2.8,0.1,0.3,0.0,0.0,4.5
W_06,comatic,500.5,0.6,-0.3,-2.2,0.1,0.4,0.2,3.8,0.1
W_07,drift,500.0977,0.3829,-0.4817,-1.7965,-0.2984,0.3943,0.0033,0.0411,-0.1567
W_08,drift,500.3406,0.4756,-0.4112,-1.817,0.0287,0.0403,0.0053,-0.1232,0.1171
W_09,drift,499.5562,0.8075,-0.4451,-2.3062,-0.2136,0.2732,-0.4156,0.0529,0.1963
W_10,drift,499.578,0.0899,-0.1889,-2.2972,0.1793,-0.0344,0.3826,-0.2448,-0.3359
W_11,drift,498.6756,0.5676,-0.2118,-2.3922,0.0325,0.0375,0.1686,-0.1795,-0.242
W_12,drift,499.8105,0.5943,-0.1748,-2.4467,-0.0144,0.0934,0.1281,-0.1234,0.0672
W_13,drift,499.0642,0.6933,-0.5579,-2.9583,0.1466,0.2134,0.2533,-0.2239,-0.1086
W_14,drift,498.9099,0.6737,-0.2378,-2.6457,0.105,0.4057,0.4192,-0.2711,-0.0011
W_15,drift,499.1039,0.7869,-0.3668,-2.7743,-0.1028,0.3741,-0.5546,-0.0952,0.4732
W_16,drift,498.6605,0.3097,-0.3046,-2.7927,0.0716,0.5717,-0.202,-0.5524,0.0813
W_17,drift,499.12,0.1353,-0.5146,-3.2066,0.1867,0.0875,0.0085,-0.4715,-0.1041
W_18,drift,498.6653,0.2952,-0.0896,-3.1794,0.2974,0.1069,-0.1484,0.2556,-0.11
W_19,drift,498.1347,0.5374,-0.3991,-2.6597,-0.2953,0.2071,-0.0173,-0.1248,0.1851
W_20,drift,497.5334,0.3424,-0.3109,-3.7749,-0.206,-0.0417,-0.1756,-0.0182,-0.154
W_21,drift,498.2626,0.5641,-0.4365,-4.0865,0.1746,0.5767,-0.0326,0.0206,0.1484
W_22,drift,497.1817,0.6445,-0.3457,-3.3295,0.2123,0.2074,-0.1709,-0.2812,0.178
W_23,drift,498.2758,0.5557,-0.5606,-3.863,-0.0118,0.0833,-0.2453,-0.0322,0.1812
W_24,drift,497.6402,0.7679,-0.2726,-3.8802,0.4443,-0.0771,0.5879,-0.0507,-0.2518
W_25,drift,496.843,0.6661,-0.1523,-3.5427,0.207,-0.0401,-0.0433,-0.4769,-0.1891
W_26,drift,497.39,0.9616,-0.0597,-4.4842,-0.1418,0.3326,0.0991,-0.0396,0.1063
W_27,drift,496.8703,0.599,-0.2141,-4.0226,0.1583,0.2625,0.1876,0.1526,-0.2413
W_28,drift,496.5403,0.8102,-0.1905,-3.6656,0.0436,0.363,0.1355,-0.31,0.0132
W_29,drift,496.1393,0.5063,0.0441,-4.3381,-0.3233,0.1287,0.1365,0.1335,0.1702
W_30,drift,496.1525,0.4075,-0.0379,-4.3388,0.0724,0.2036,0.0382,-0.2619,0.1035
W_31,drift,495.9578,0.3549,-0.0603,-4.3451,0.1076,0.5862,-0.4468,0.2745,0.172
W_32,drift,496.367,0.2144,-0.2575,-3.8378,0.3494,0.3214,-0.0757,0.1296,-0.083
W_33,drift,495.9637,0.7109,-0.2376,-4.7986,0.6033,0.3694,-0.2967,0.1605,-0.2178
W_34,drift,495.8395,0.2819,-0.4011,-4.6577,-0.0348,0.2282,-0.0147,-0.0208,0.3413
W_35,drift,496.017,0.7195,0.0725,-4.6701,0.3796,-0.011,0.1056,0.1548,0.1927
W_36,drift,495.5936,0.3228,-0.3737,-4.8784,-0.1333,0.4548,-0.1039,-0.1865,0.0591
