id,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
W_01,504.9877,497.0589,504.9214,505.9272,492.0346,491.5149,497.7068,493.8648,495.0802,491.7606,500.8991,500.535,497.7564
W_02,507.9663,510.8232,493.9684,493.7777,496.5739,514.797,503.1047,489.0107,476.3497,484.5174,484.2023,493.7934,504.8558
W_03,525.4462,514.2319,513.1923,513.7312,522.2507,481.2081,478.9616,475.5218,483.4717,487.285,480.3876,476.1899,477.966
W_04,507.9491,510.2021,500.4754,502.5376,498.7135,511.409,496.9482,482.9393,494.166,513.0201,495.0616,479.6278,496.77
W_05,498.564,501.6461,499.3588,500.4639,503.03,503.9598,501.3464,488.3289,497.3371,495.6107,487.9399,510.2744,489.6271
W_06,508.2772,494.7541,498.9979,512.8596,501.7528,503.2389,499.8797,490.7953,490.6774,486.4334,491.7839,493.8906,505.4995
W_07,506.3374,500.5801,503.127,498.1692,499.9136,496.9254,489.9159,497.9442,493.762,497.1322,499.0271,498.7635,502.6581
W_08,502.9954,500.4216,500.8983,492.6856,495.0223,491.2813,492.3709,497.9551,491.8364,494.7985,503.6736,496.452,501.5777
W_09,498.8826,501.3079,496.6748,499.1545,505.2452,489.3589,497.3965,493.4601,490.8051,487.2363,495.2236,494.8661,499.5663
W_10,503.6662,509.9361,499.5194,495.7661,503.0811,496.1022,502.3026,501.5133,497.1364,503.3441,490.635,490.8303,490.3452
W_11,500.87,494.6447,503.3335,498.6138,493.643,490.1734,496.1819,499.3685,503.5504,508.5658,496.6912,488.7552,484.6879
W_12,505.3869,498.6083,499.2112,497.9506,501.4472,501.9708,497.0644,494.3733,489.9836,486.5887,492.3744,495.2523,504.9035
W_13,504.8395,507.6094,497.8318,494.5521,497.4593,491.5901,504.9807,489.2187,496.7466,489.1952,498.9301,495.4343,493.8378
W_14,503.2886,499.2042,502.025,497.8595,495.6264,489.5119,496.3623,501.9425,494.9626,494.1472,495.1093,499.1502,495.0859
W_15,501.8544,508.0952,503.6433,508.2811,501.6021,490.3974,487.4547,497.9962,501.5718,493.0127,491.894,504.3302,490.6233
W_16,499.0239,505.7886,498.5686,499.9704,499.7106,495.9687,499.7058,491.4654,496.8669,485.9158,495.0967,489.6177,487.5667
W_17,500.2832,501.0549,505.7179,494.1617,502.3044,490.2966,490.723,497.6546,495.6373,501.5305,494.9255,490.5826,492.165
W_18,505.3847,502.0361,495.9438,501.8905,502.0864,507.3211,503.5621,488.3425,489.4299,484.7898,490.6546,494.7623,500.0363
W_19,499.096,497.9159,488.9493,498.8244,495.2836,492.1098,488.708,491.1786,484.728,485.9781,503.1749,487.9543,489.5119
W_20,513.2563,515.4573,494.7891,498.3185,502.262,500.1696,484.9142,489.1882,493.8484,492.4336,489.2681,491.1111,486.1782
W_21,504.1497,501.1467,501.8837,498.6071,503.9856,498.8473,492.8505,490.1456,489.8068,491.411,487.5598,492.7396,491.5036
W_22,513.4144,509.0247,501.5282,495.0242,494.2928,498.3722,493.1308,491.6293,481.3549,496.0663,494.3376,487.033,489.3687
W_23,506.2854,502.3348,499.65,500.2926,500.2934,493.572,498.7227,476.2198,488.796,491.6511,493.2426,491.8489,484.4795
W_24,506.0008,510.2343,491.9328,504.1501,500.386,491.8165,488.0201,491.2661,495.6405,492.2515,499.4074,495.1656,492.7349
W_25,511.6988,503.3891,503.8543,496.6622,500.0626,487.1049,495.4793,485.0215,493.4497,489.6722,497.767,494.4515,499.9801
W_26,508.8108,494.423,500.1714,494.2948,498.4687,499.8052,494.079,485.1741,483.9562,488.7905,481.5961,485.5924,492.4944
W_27,509.6142,503.6777,488.0254,501.4511,500.7534,494.2451,499.1209,479.7285,485.0063,491.8707,481.6495,495.8547,492.9273
W_28,507.1222,498.2565,502.8834,503.6911,500.8582,492.9961,492.2115,484.9503,488.8553,489.5743,491.6682,494.3363,485.2987
W_29,503.0281,507.4143,495.5702,495.3158,500.82,494.5528,489.5571,494.9478,493.4024,491.7597,488.9565,499.9556,488.7074
W_30,493.6499,508.6814,497.0778,499.4389,506.2074,481.1993,482.8485,479.8718,484.6745,491.2603,491.1619,489.7808,481.2293
W_31,491.9332,499.999,497.3667,502.2515,501.9295,492.0452,492.9212,486.2713,489.145,484.8584,487.3901,489.8509,493.9631
W_32,501.0456,502.2688,497.8164,499.0857,503.4957,481.3371,483.9814,481.0272,475.9613,486.3204,494.4495,488.0021,491.1039
W_33,509.7212,507.1626,499.5993,506.3837,499.6873,486.2458,486.1292,478.6464,479.0561,484.8913,493.1947,496.0497,481.9629
W_34,505.871,494.8652,501.2914,498.7562,490.8089,493.4776,485.1142,482.7348,482.2467,484.5548,489.3936,488.0761,489.7817
W_35,505.9154,506.8469,497.8854,491.913,505.3065,488.1204,496.4645,489.7705,485.725,487.7684,496.5978,498.4415,487.9829
W_36,504.8442,505.8619,494.7679,500.8247,499.3223,489.9454,482.1272,476.8737,476.4136,482.5531,485.068,485.7723,497.8681
